48                                                                         
===========================================================================
                                                                           
                  KPP Standalone Atmospheric Chemical State                
File Description:                                                          
This file contains model output of the atmospheric chemical state          
as simulated by the GEOS-Chem chemistry module in a 3D setting.            
Each grid cell represents the chemical state of an individual location,    
suitable for input into a separate KPP Standalone program which will       
replicate the chemical evolution of that grid cell for mechanism analysis. 
Note that the KPP Standalone will only use concentrations, rate constants, 
and KPP-specific fields. All other fields are for reference. The first line
contains the number of lines in this header. If wanting to use this output 
for other analysis, a Python class to read these fields is available by    
request, contact Obin Sturm (psturm@usc.edu).                              
                                                                           
Generated by the GEOS-Chem Model                                           
       (https://geos-chem.org/)                                            
Using the KPP Standalone Interface                                         
github.com/GEOS-ESM/geos-chem/tree/feature/psturm/kpp_standalone_interface 
     With contributions from:                                              
        Obin Sturm (psturm@usc.edu)                                        
        Christoph Keller                                                   
        Michael Long                                                       
        Sam Silva                                                          
                                                                           
Meteorological and general grid cell metadata    
Location:                                        Beijing
Timestamp:                                       2020/01/06 13:45
Longitude (degrees):                                117.0185
Latitude (degrees):                                  39.8364
GEOS-Chem Vertical Level:                             1
Pressure (hPa):                                    1009.8350
Temperature (K):                                      275.90
Dry air density (molec/cm3):                      0.2646E+20
Water vapor mixing ratio (vol H2O/vol dry air):   0.3956E-02
Cloud fraction:                                   0.0000E+00
Cosine of solar zenith angle:                    -0.8279E+00
KPP Integrator-specific parameters               
Init KPP Timestep (seconds):                        268.3002
Exit KPP Timestep (seconds):                         32.4352
Chemistry operator timestep (seconds):              900.0000
Number of internal timesteps:                        28
CSV data of full chemical state, including species concentrations,    
rate constants (R) and instantaneous reaction rates (A).              
All concentration units are in molecules/cc and rates in molec/cc/s.  
                                                                           
===========================================================================
Name,   Value                                                              
CH2I2,   0.5229637490161687E+06
CH2IBr,   0.5401741649323440E+06
CH2ICl,   0.2389579494513276E+07
AERI,   0.1144044191044774E+12
AONITA,   0.2224684129917660E+10
BUTDI,   0.0000000000000000E+00
CO2,   0.7331505456875255E+16
INDIOL,   0.3917484033613435E+10
ISALA,   0.1340074753973859E+09
ISALC,   0.2656091737594891E+08
LBRO2H,   0.1110359179531490E+11
LBRO2N,   0.1007852162653296E+13
BRO2,   0.2641206128574977E-01
LISOPOH,   0.0000000000000000E+00
LISOPNO3,   0.0000000000000000E+00
LNRO2H,   0.0000000000000000E+00
LNRO2N,   0.0000000000000000E+00
NRO2,   0.0000000000000000E+00
NAP,   0.0000000000000000E+00
LTRO2H,   0.6236742963112886E+11
LTRO2N,   0.8070360765686937E+13
TRO2,   0.2093893768543299E+00
LVOCOA,   0.6865493588792447E+06
LVOC,   0.3860877065010954E-12
LXRO2H,   0.1045239082629581E+12
LXRO2N,   0.1788823543222465E+14
XRO2,   0.4720263884380698E+00
MSA,   0.2234785005701510E+08
SO4s,   0.7764798777941527E+04
SOAGX,   0.4090001577327538E+10
SOAIE,   0.2203718566890857E+08
PH2SO4,   0.0000000000000000E+00
PSO4AQ,   0.0000000000000000E+00
POx,   0.0000000000000000E+00
LOx,   0.0000000000000000E+00
PCO,   0.0000000000000000E+00
LCO,   0.0000000000000000E+00
PSO4,   0.0000000000000000E+00
LCH4,   0.0000000000000000E+00
PH2O2,   0.0000000000000000E+00
FURA,   0.0000000000000000E+00
I2O4,   0.1167034727981632E+03
CH3CCl3,   0.3228183624351780E+08
I2O2,   0.2324264092827573E+01
MONITA,   0.1940705460275071E+05
CH3I,   0.2343881382469887E+18
H1301,   0.8837813935404474E+08
H2402,   0.1031960367575871E+08
I2O3,   0.2203119638453422E+04
PPN,   0.3460312900826755E+10
BrNO2,   0.6488710748759532E+07
CCl4,   0.2024494423926137E+10
CFC11,   0.5883761894554182E+10
CFC12,   0.1316463914410311E+11
CFC113,   0.1822336061620289E+10
CFC114,   0.4170177861429334E+09
CFC115,   0.2254436296880906E+09
C2H2,   0.5834922670950449E+07
H1211,   0.8387986249343947E+08
INO,   0.9891785567337147E+12
N2O,   0.8749965335219539E+13
NIT,   0.3058886926899389E+12
NITs,   0.6257543667380522E+07
BENZ,   0.6937024682064159E+11
N,   0.0000000000000000E+00
OCS,   0.1323026012059447E+11
PAN,   0.9333859503481314E+10
ETHN,   0.6856839955684951E+08
HI,   0.1269691884187007E+08
BZCO3H,   0.9872402025956239E+06
CH2Br2,   0.2931842381278095E+08
CH2Cl2,   0.1622230536880044E+10
IBr,   0.1562391091756119E+08
MPN,   0.6012943409089624E+04
Cl2O2,   0.5173211532367032E-09
C2H4,   0.1466026680876448E+12
CHBr3,   0.4476269237077630E+08
CHCl3,   0.3257499859497513E+09
TOLU,   0.1015123360163832E+12
XYLE,   0.8244156860306589E+11
HCFC123,   0.4596006423189103E-12
HCFC141b,   0.6922072309276936E+09
HCFC142b,   0.6022414644762596E+09
HCFC22,   0.6637092294037771E+10
HMHP,   0.5877245987218773E+09
HMS,   0.6137832069261662E+09
IPRNO3,   0.6629851971103431E+09
MAP,   0.1820720190242983E+09
MENO3,   0.9356153733386898E+08
DMS,   0.2902139473719242E+07
NPRNO3,   0.1669379444014273E+09
OIO,   0.1547825002243250E+06
R4P,   0.7487585398980704E+08
RA3P,   0.2082343766763396E+08
RB3P,   0.5000705540901479E+08
ETNO3,   0.4927966639222008E+08
BZPAN,   0.1136449449987494E+09
IONITA,   0.4729234234451677E+06
ICl,   0.1013411688899271E+10
CH3Br,   0.1886743857442678E+09
BALD,   0.5910334621516049E+09
HNO4,   0.8513066102930259E-02
ClOO,   0.3365253171069412E-05
PYAC,   0.7023899207442132E+06
HMML,   0.2301945437195899E+07
RP,   0.4015755068441701E+08
BENZP,   0.1073868393198497E+09
ETO,   0.2476500881603519E-09
IDC,   0.8431471935696354E+06
ETP,   0.8940086009759392E+08
OClO,   0.1186007491717479E+03
PP,   0.1203713763240346E+08
PRPN,   0.3145851714794756E+07
ALK4,   0.6551747808160359E+12
CSL,   0.2579982490777665E+09
